variant,keypair,sign,verify,algorithm,level
SPHINCS+-SHA2-128s-simple,1063.7271404266357,8089.000701904297,7.508277893066406,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.6427402496338,8089.311361312866,7.8220367431640625,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.331199645996,8092.562198638916,8.055925369262695,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.3407363891602,8090.44075012207,8.269548416137695,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.858892440796,8089.516878128052,7.92694091796875,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.368558883667,8090.226650238037,8.4991455078125,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.25101852417,8090.378046035767,7.9250335693359375,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.452959060669,8089.064598083496,8.181571960449219,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4195804595947,8088.354825973511,7.935047149658203,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5175704956055,8087.796926498413,7.9326629638671875,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.157081604004,8088.701486587524,8.208274841308594,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7845058441162,8090.470790863037,8.159637451171875,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.8007183074951,8091.332674026489,8.167266845703125,sphincs-sha-s,1
